Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
trickiest,3.00,2.62,0.65,3.00,1.00,3.00,13.00,2.69,-0.02,,-0.31,0.31,0.76,0.31,0.00,3.00,0.56,13.00
trustfulness,3.00,3.07,0.27,3.00,3.00,4.00,14.00,3.01,0.30,,0.01,0.01,0.99,0.00,0.01,3.00,-0.13,14.00
unclouded,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.88,0.18,,-0.12,0.12,0.89,0.12,0.00,3.00,0.23,10.00
uncovering,3.00,3.00,0.00,3.00,3.00,3.00,11.00,2.86,0.15,,-0.14,0.14,0.87,0.14,0.00,3.00,,11.00
undergraduates,4.00,3.64,0.67,4.00,3.00,5.00,11.00,3.56,0.85,,-0.44,0.44,0.69,0.44,0.00,4.00,0.07,11.00
underhandedly,4.00,3.82,0.75,4.00,2.00,5.00,11.00,3.76,1.05,,-0.24,0.24,0.80,0.24,0.00,4.00,0.85,11.00
understandably,3.00,3.83,0.58,4.00,3.00,5.00,12.00,3.64,0.94,,0.64,0.64,0.61,0.00,0.64,4.00,0.73,12.00
unevenness,3.00,3.08,0.29,3.00,3.00,4.00,12.00,3.10,0.39,,0.10,0.10,0.91,0.00,0.10,3.00,0.34,12.00
unfamiliar,2.00,3.08,0.95,3.00,2.00,5.00,13.00,2.97,0.27,,0.97,0.97,0.51,0.00,0.97,3.00,0.79,13.00
unimpressive,4.00,3.27,0.47,3.00,3.00,4.00,11.00,3.23,0.52,,-0.77,0.77,0.56,0.77,0.00,3.00,0.83,11.00
unloads,3.00,3.00,0.00,3.00,3.00,3.00,10.00,2.99,0.29,,-0.01,0.01,0.99,0.01,0.00,3.00,,10.00
upgrade,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.31,-0.39,,0.31,0.31,0.76,0.00,0.31,2.00,0.40,10.00
villagers,3.00,2.73,0.65,3.00,2.00,4.00,11.00,2.77,0.07,,-0.23,0.23,0.81,0.23,0.00,3.00,0.60,11.00
worriedly,3.00,2.90,0.88,3.00,2.00,5.00,10.00,2.86,0.15,,-0.14,0.14,0.87,0.14,0.00,3.00,0.41,10.00
wrongfully,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.66,-0.04,,-0.34,0.34,0.75,0.34,0.00,3.00,0.56,10.00
arithmeticians,3.00,3.38,0.92,3.00,2.00,5.00,8.00,3.43,0.72,,0.43,0.43,0.70,0.00,0.43,3.00,0.63,8.00
baptismal,3.00,2.42,0.67,2.00,2.00,4.00,12.00,2.52,-0.18,,-0.48,0.48,0.68,0.48,0.00,3.00,0.62,12.00
commencements,3.00,3.25,0.62,3.00,2.00,4.00,12.00,3.33,0.63,,0.33,0.33,0.75,0.00,0.33,3.00,0.85,12.00
concession,3.00,2.63,1.06,3.00,1.00,4.00,8.00,2.60,-0.11,,-0.40,0.40,0.71,0.40,0.00,3.00,0.59,8.00
debasement,3.00,3.00,0.71,3.00,1.00,4.00,13.00,3.03,0.33,,0.03,0.03,0.97,0.00,0.03,3.00,0.40,13.00
deconstitutionalize,4.00,4.33,1.23,4.00,2.00,7.00,12.00,4.24,1.53,,0.24,0.24,0.81,0.00,0.24,4.00,0.58,12.00
decontaminate,3.00,3.45,0.69,4.00,2.00,4.00,11.00,3.25,0.54,,0.25,0.25,0.80,0.00,0.25,3.00,0.32,11.00
desensitizing,4.00,3.75,0.71,4.00,3.00,5.00,8.00,3.66,0.96,,-0.34,0.34,0.75,0.34,0.00,4.00,0.84,8.00
deterioration,2.00,3.56,1.13,4.00,2.00,5.00,9.00,3.46,0.75,,1.46,1.46,0.41,0.00,1.46,3.00,0.80,9.00
determinations,3.00,3.17,0.83,3.00,1.00,4.00,12.00,3.24,0.53,,0.24,0.24,0.81,0.00,0.24,3.00,0.66,12.00
disinclination,4.00,3.75,1.14,3.50,2.00,6.00,12.00,3.71,1.01,,-0.29,0.29,0.78,0.29,0.00,4.00,0.68,12.00
dispensable,3.00,2.50,0.67,2.00,2.00,4.00,12.00,2.53,-0.18,,-0.47,0.47,0.68,0.47,0.00,3.00,-0.06,12.00
environmentalism,4.00,3.77,1.09,3.00,3.00,6.00,13.00,3.79,1.09,,-0.21,0.21,0.83,0.21,0.00,4.00,0.52,13.00
fragmentation,2.00,2.92,1.00,3.00,1.00,4.00,12.00,3.00,0.29,,1.00,1.00,0.50,0.00,1.00,3.00,0.88,12.00
hundredths,3.00,2.91,0.54,3.00,2.00,4.00,11.00,2.96,0.25,,-0.04,0.04,0.96,0.04,0.00,3.00,0.05,11.00
imbalances,3.00,3.20,0.63,3.00,2.00,4.00,10.00,3.26,0.56,,0.26,0.26,0.79,0.00,0.26,3.00,0.41,10.00
incomparable,3.00,2.91,0.70,3.00,2.00,4.00,11.00,3.04,0.34,,0.04,0.04,0.96,0.00,0.04,3.00,0.64,11.00
incriminates,4.00,3.73,0.79,4.00,2.00,5.00,11.00,3.77,1.07,,-0.23,0.23,0.82,0.23,0.00,4.00,0.51,11.00
marketeer,2.00,2.67,0.71,3.00,2.00,4.00,9.00,2.59,-0.12,,0.59,0.59,0.63,0.00,0.59,3.00,0.39,9.00
merriest,2.00,2.36,0.67,2.00,2.00,4.00,11.00,2.50,-0.21,,0.50,0.50,0.67,0.00,0.50,2.00,0.41,11.00
obnoxiousness,3.00,3.36,0.67,3.00,2.00,4.00,11.00,3.40,0.69,,0.40,0.40,0.72,0.00,0.40,3.00,0.32,11.00
oscillation,3.00,2.73,0.79,3.00,2.00,4.00,11.00,2.72,0.02,,-0.28,0.28,0.78,0.28,0.00,3.00,0.60,11.00
