Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
floppy,2.00,1.85,0.38,2.00,1.00,2.00,13.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,-0.34,13.00
fuzzy,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,-0.46,11.00
barest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,,12.00
biggest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.96,-0.74,,-0.04,0.04,0.97,0.04,0.00,2.00,,12.00
bookie,2.00,2.00,0.00,2.00,2.00,2.00,8.00,2.13,-0.57,,0.13,0.13,0.88,0.00,0.13,2.00,,8.00
bottleful,2.00,2.08,0.29,2.00,2.00,3.00,12.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.51,12.00
bulgy,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.67,12.00
changeably,3.00,2.42,0.51,2.00,2.00,3.00,12.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.09,12.00
choker,2.00,1.90,0.32,2.00,1.00,2.00,10.00,1.91,-0.80,,-0.09,0.09,0.92,0.09,0.00,2.00,0.64,10.00
cleanest,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,0.75,11.00
clincher,2.00,2.00,0.45,2.00,1.00,3.00,11.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,0.01,11.00
closure,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.77,-0.93,,-0.23,0.23,0.81,0.23,0.00,2.00,0.44,12.00
coolness,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.08,-0.62,,0.08,0.08,0.93,0.00,0.08,2.00,0.35,11.00
cruelly,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.07,-0.64,,0.07,0.07,0.94,0.00,0.07,2.00,,11.00
downstream,2.00,1.85,0.38,2.00,1.00,2.00,13.00,1.87,-0.83,,-0.13,0.13,0.89,0.13,0.00,2.00,0.26,13.00
dumpy,2.00,2.08,0.29,2.00,2.00,3.00,12.00,1.97,-0.73,,-0.03,0.03,0.97,0.03,0.00,2.00,0.15,12.00
earthly,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,,12.00
edgiest,3.00,2.31,0.48,2.00,2.00,3.00,13.00,2.27,-0.44,,-0.73,0.73,0.58,0.73,0.00,2.00,0.01,13.00
famous,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.62,-1.08,,-0.38,0.38,0.73,0.38,0.00,2.00,0.38,11.00
fearless,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.17,11.00
flyer,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.02,-0.69,,0.02,0.02,0.98,0.00,0.02,2.00,0.08,12.00
greatest,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.71,12.00
healthier,3.00,2.44,0.53,2.00,2.00,3.00,9.00,2.33,-0.37,,-0.67,0.67,0.60,0.67,0.00,2.00,0.32,9.00
heartily,3.00,2.27,0.47,2.00,2.00,3.00,11.00,2.28,-0.42,,-0.72,0.72,0.58,0.72,0.00,2.00,-0.04,11.00
holder,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.84,-0.86,,-0.16,0.16,0.86,0.16,0.00,2.00,0.34,11.00
impress,2.00,1.89,0.33,2.00,1.00,2.00,9.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,0.23,9.00
lameness,2.00,2.17,0.58,2.00,2.00,4.00,12.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,-0.26,12.00
looter,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,,13.00
miner,2.00,1.67,0.49,2.00,1.00,2.00,12.00,1.77,-0.94,,-0.23,0.23,0.81,0.23,0.00,2.00,0.38,12.00
outboard,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.01,-0.69,,0.01,0.01,0.99,0.00,0.01,2.00,,10.00
outdid,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.86,-0.85,,-0.14,0.14,0.88,0.14,0.00,2.00,,13.00
outflank,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.09,-0.61,,0.09,0.09,0.91,0.00,0.09,2.00,,10.00
outstay,2.00,1.92,0.29,2.00,1.00,2.00,12.00,1.79,-0.91,,-0.21,0.21,0.83,0.21,0.00,2.00,0.44,12.00
outwork,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,,12.00
overalls,3.00,2.50,0.52,2.50,2.00,3.00,12.00,2.45,-0.26,,-0.55,0.55,0.64,0.55,0.00,2.00,0.15,12.00
ratty,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.97,-0.74,,-0.03,0.03,0.97,0.03,0.00,2.00,,12.00
renew,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.98,-0.72,,-0.02,0.02,0.98,0.02,0.00,2.00,,12.00
sleekest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,,12.00
tallest,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,,11.00
uncork,2.00,2.00,0.00,2.00,2.00,2.00,9.00,2.04,-0.66,,0.04,0.04,0.96,0.00,0.04,2.00,,9.00
watcher,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.42,11.00
watchman,2.00,1.92,0.28,2.00,1.00,2.00,13.00,2.00,-0.71,,0.00,0.00,1.00,0.00,0.00,2.00,0.32,13.00
wealthy,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.90,-0.80,,-0.10,0.10,0.91,0.10,0.00,2.00,,13.00
whiten,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,,12.00
wholeness,2.00,2.00,0.00,2.00,2.00,2.00,9.00,1.99,-0.72,,-0.01,0.01,0.99,0.01,0.00,2.00,,9.00
worldly,2.00,1.90,0.32,2.00,1.00,2.00,10.00,1.77,-0.94,,-0.23,0.23,0.81,0.23,0.00,2.00,0.54,10.00
actively,3.00,2.75,0.45,3.00,2.00,3.00,12.00,2.68,-0.03,,-0.32,0.32,0.76,0.32,0.00,3.00,0.53,12.00
addictive,2.00,2.50,0.71,3.00,1.00,3.00,10.00,2.43,-0.28,,0.43,0.43,0.70,0.00,0.43,2.00,0.58,10.00
arsonist,2.00,2.36,0.50,2.00,2.00,3.00,11.00,2.39,-0.31,,0.39,0.39,0.72,0.00,0.39,2.00,0.72,11.00
atomize,2.00,2.31,0.48,2.00,2.00,3.00,13.00,2.15,-0.56,,0.15,0.15,0.87,0.00,0.15,2.00,0.66,13.00
biracial,3.00,2.83,0.39,3.00,2.00,3.00,12.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,0.23,12.00
blander,2.00,2.00,0.41,2.00,1.00,3.00,13.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,0.75,13.00
brownest,2.00,2.17,0.39,2.00,2.00,3.00,12.00,1.97,-0.73,,-0.03,0.03,0.98,0.03,0.00,2.00,0.72,12.00
bumpers,3.00,2.23,0.73,2.00,1.00,3.00,13.00,2.32,-0.38,,-0.68,0.68,0.60,0.68,0.00,2.00,0.67,13.00
carriers,3.00,2.82,0.60,3.00,2.00,4.00,11.00,2.61,-0.09,,-0.39,0.39,0.72,0.39,0.00,3.00,0.15,11.00
certainty,2.00,2.08,0.67,2.00,1.00,3.00,12.00,2.17,-0.54,,0.17,0.17,0.86,0.00,0.17,2.00,0.83,12.00
corruption,2.00,2.40,0.52,2.00,2.00,3.00,10.00,2.41,-0.29,,0.41,0.41,0.71,0.00,0.41,2.00,0.42,10.00
countermove,2.00,2.33,0.49,2.00,2.00,3.00,12.00,2.36,-0.35,,0.36,0.36,0.74,0.00,0.36,2.00,0.74,12.00
debrief,2.00,2.10,0.32,2.00,2.00,3.00,10.00,1.92,-0.78,,-0.08,0.08,0.93,0.08,0.00,2.00,0.54,10.00
description,3.00,2.64,0.67,3.00,1.00,3.00,11.00,2.55,-0.15,,-0.45,0.45,0.69,0.45,0.00,3.00,0.76,11.00
detained,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.76,0.05,,-0.24,0.24,0.80,0.24,0.00,3.00,0.19,10.00
dislodging,3.00,2.92,0.29,3.00,2.00,3.00,12.00,2.86,0.15,,-0.14,0.14,0.88,0.14,0.00,3.00,0.58,12.00
divergent,3.00,2.38,0.65,2.00,1.00,3.00,13.00,2.43,-0.27,,-0.57,0.57,0.64,0.57,0.00,2.00,0.49,13.00
dockers,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.67,-0.04,,-0.33,0.33,0.75,0.33,0.00,3.00,0.51,9.00
dosages,3.00,2.67,0.50,3.00,2.00,3.00,9.00,2.49,-0.21,,-0.51,0.51,0.66,0.51,0.00,2.00,0.64,9.00
dusters,3.00,2.40,0.52,2.00,2.00,3.00,10.00,2.37,-0.34,,-0.63,0.63,0.61,0.63,0.00,2.00,0.54,10.00
eccentric,3.00,2.42,0.79,3.00,1.00,3.00,12.00,2.34,-0.37,,-0.66,0.66,0.60,0.66,0.00,2.00,0.56,12.00
embarked,3.00,2.67,0.49,3.00,2.00,3.00,12.00,2.75,0.05,,-0.25,0.25,0.80,0.25,0.00,3.00,0.36,12.00
expended,3.00,2.58,0.51,3.00,2.00,3.00,12.00,2.56,-0.14,,-0.44,0.44,0.69,0.44,0.00,3.00,0.67,12.00
feebly,2.00,2.11,0.33,2.00,2.00,3.00,9.00,2.09,-0.62,,0.09,0.09,0.92,0.00,0.09,2.00,0.68,9.00
fielders,3.00,2.62,0.65,3.00,1.00,3.00,13.00,2.62,-0.09,,-0.38,0.38,0.72,0.38,0.00,3.00,0.65,13.00
fossilize,2.00,2.40,0.52,2.00,2.00,3.00,10.00,2.14,-0.56,,0.14,0.14,0.88,0.00,0.14,2.00,0.80,10.00
gangsters,3.00,2.82,0.60,3.00,2.00,4.00,11.00,2.75,0.05,,-0.25,0.25,0.80,0.25,0.00,3.00,-0.08,11.00
guiltiness,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.62,-0.09,,-0.38,0.38,0.72,0.38,0.00,3.00,0.58,10.00
hastily,3.00,2.44,0.53,2.00,2.00,3.00,9.00,2.34,-0.37,,-0.66,0.66,0.60,0.66,0.00,2.00,0.58,9.00
hexagon,2.00,2.09,0.70,2.00,1.00,3.00,11.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,0.72,11.00
hoarsely,2.00,2.08,0.51,2.00,1.00,3.00,12.00,2.19,-0.52,,0.19,0.19,0.84,0.00,0.19,2.00,0.80,12.00
illnesses,3.00,3.00,0.47,3.00,2.00,4.00,10.00,2.87,0.16,,-0.13,0.13,0.88,0.13,0.00,3.00,0.42,10.00
imagery,2.00,2.36,0.67,2.00,1.00,3.00,11.00,2.23,-0.47,,0.23,0.23,0.81,0.00,0.23,2.00,0.66,11.00
incoming,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.74,0.03,,-0.26,0.26,0.79,0.26,0.00,3.00,0.29,11.00
infection,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.61,-0.10,,-0.39,0.39,0.72,0.39,0.00,3.00,0.44,10.00
initially,3.00,2.58,0.67,2.50,2.00,4.00,12.00,2.58,-0.13,,-0.42,0.42,0.70,0.42,0.00,3.00,0.56,12.00
intently,3.00,2.50,0.53,2.50,2.00,3.00,10.00,2.37,-0.34,,-0.63,0.63,0.61,0.63,0.00,2.00,0.80,10.00
itchiness,3.00,2.73,0.47,3.00,2.00,3.00,11.00,2.76,0.05,,-0.24,0.24,0.81,0.24,0.00,3.00,0.48,11.00
lawyers,3.00,2.40,0.52,2.00,2.00,3.00,10.00,2.37,-0.33,,-0.63,0.63,0.61,0.63,0.00,2.00,0.44,10.00
leakiness,3.00,2.67,0.50,3.00,2.00,3.00,9.00,2.53,-0.18,,-0.47,0.47,0.68,0.47,0.00,3.00,0.72,9.00
lightening,3.00,2.36,0.67,2.00,1.00,3.00,11.00,2.48,-0.22,,-0.52,0.52,0.66,0.52,0.00,2.00,0.76,11.00
likenesses,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.92,0.21,,-0.08,0.08,0.92,0.08,0.00,3.00,-0.03,11.00
livable,2.00,2.33,0.50,2.00,2.00,3.00,9.00,2.16,-0.54,,0.16,0.16,0.86,0.00,0.16,2.00,0.40,9.00
lovelies,3.00,2.64,0.50,3.00,2.00,3.00,11.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.51,11.00
maltreatment,3.00,3.17,0.39,3.00,3.00,4.00,12.00,3.02,0.32,,0.02,0.02,0.98,0.00,0.02,3.00,0.34,12.00
meatiest,3.00,2.45,0.52,2.00,2.00,3.00,11.00,2.31,-0.39,,-0.69,0.69,0.59,0.69,0.00,2.00,0.55,11.00
minders,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.63,-0.07,,-0.37,0.37,0.73,0.37,0.00,3.00,-0.13,10.00
muddies,3.00,2.54,0.66,3.00,1.00,3.00,13.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.68,13.00
nautical,2.00,2.25,0.75,2.00,1.00,3.00,12.00,2.26,-0.44,,0.26,0.26,0.79,0.00,0.26,2.00,0.72,12.00
noiselessness,3.00,3.00,0.45,3.00,2.00,4.00,11.00,2.86,0.15,,-0.14,0.14,0.88,0.14,0.00,3.00,0.46,11.00
objective,3.00,2.55,0.52,3.00,2.00,3.00,11.00,2.52,-0.19,,-0.48,0.48,0.67,0.48,0.00,3.00,0.55,11.00
outflows,3.00,2.92,0.28,3.00,2.00,3.00,13.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,0.39,13.00
outlasting,3.00,2.89,0.60,3.00,2.00,4.00,9.00,2.91,0.20,,-0.09,0.09,0.91,0.09,0.00,3.00,-0.04,9.00
outlooks,3.00,2.91,0.30,3.00,2.00,3.00,11.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,0.68,11.00
perilous,2.00,2.08,0.51,2.00,1.00,3.00,12.00,2.04,-0.67,,0.04,0.04,0.96,0.00,0.04,2.00,0.73,12.00
permissive,3.00,2.40,0.52,2.00,2.00,3.00,10.00,2.44,-0.27,,-0.56,0.56,0.64,0.56,0.00,2.00,0.74,10.00
plainer,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.02,-0.69,,0.02,0.02,0.98,0.00,0.02,2.00,0.79,10.00
poachers,3.00,2.69,0.63,3.00,1.00,3.00,13.00,2.64,-0.06,,-0.36,0.36,0.74,0.36,0.00,3.00,0.65,13.00
preacher,2.00,2.27,0.65,2.00,1.00,3.00,11.00,2.38,-0.33,,0.38,0.38,0.73,0.00,0.38,2.00,0.82,11.00
precedes,3.00,2.50,0.71,3.00,1.00,3.00,10.00,2.53,-0.17,,-0.47,0.47,0.68,0.47,0.00,3.00,0.49,10.00
prescription,3.00,2.92,0.51,3.00,2.00,4.00,12.00,2.76,0.05,,-0.24,0.24,0.80,0.24,0.00,3.00,0.65,12.00
prettier,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.17,-0.53,,0.17,0.17,0.85,0.00,0.17,2.00,0.64,10.00
pricier,3.00,2.18,0.60,2.00,1.00,3.00,11.00,2.12,-0.59,,-0.88,0.88,0.53,0.88,0.00,2.00,0.54,11.00
propeller,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.60,-0.11,,-0.40,0.40,0.71,0.40,0.00,3.00,0.61,9.00
reduce,2.00,1.67,0.65,2.00,1.00,3.00,12.00,1.70,-1.01,,-0.30,0.30,0.77,0.30,0.00,2.00,0.54,12.00
reflects,3.00,2.60,0.70,3.00,1.00,3.00,10.00,2.60,-0.11,,-0.40,0.40,0.71,0.40,0.00,3.00,0.80,10.00
refresher,3.00,2.78,0.44,3.00,2.00,3.00,9.00,2.63,-0.08,,-0.37,0.37,0.73,0.37,0.00,3.00,0.45,9.00
refusal,3.00,2.42,0.67,2.50,1.00,3.00,12.00,2.54,-0.17,,-0.46,0.46,0.68,0.46,0.00,3.00,0.69,12.00
regressing,3.00,2.80,0.42,3.00,2.00,3.00,10.00,2.70,-0.01,,-0.30,0.30,0.77,0.30,0.00,3.00,0.43,10.00
rejigged,3.00,3.00,0.00,3.00,3.00,3.00,12.00,2.88,0.17,,-0.12,0.12,0.89,0.12,0.00,3.00,,12.00
reportage,3.00,2.89,0.33,3.00,2.00,3.00,9.00,2.76,0.05,,-0.24,0.24,0.80,0.24,0.00,3.00,0.68,9.00
resurface,2.00,2.50,0.53,2.50,2.00,3.00,10.00,2.30,-0.40,,0.30,0.30,0.77,0.00,0.30,2.00,0.82,10.00
retaliatory,2.00,2.82,1.17,3.00,1.00,5.00,11.00,2.84,0.14,,0.84,0.84,0.54,0.00,0.84,3.00,0.72,11.00
ripened,3.00,2.75,0.45,3.00,2.00,3.00,12.00,2.87,0.17,,-0.13,0.13,0.89,0.13,0.00,3.00,0.30,12.00
roughen,2.00,2.00,0.43,2.00,1.00,3.00,12.00,2.15,-0.55,,0.15,0.15,0.87,0.00,0.15,2.00,0.69,12.00
sappier,3.00,2.36,0.50,2.00,2.00,3.00,11.00,2.46,-0.25,,-0.54,0.54,0.65,0.54,0.00,2.00,0.81,11.00
savers,3.00,2.45,0.52,2.00,2.00,3.00,11.00,2.36,-0.34,,-0.64,0.64,0.61,0.64,0.00,2.00,0.48,11.00
shrewder,2.00,2.17,0.39,2.00,2.00,3.00,12.00,2.30,-0.41,,0.30,0.30,0.77,0.00,0.30,2.00,0.34,12.00
singable,2.00,2.08,0.51,2.00,1.00,3.00,12.00,2.16,-0.55,,0.16,0.16,0.86,0.00,0.16,2.00,0.73,12.00
skimpy,2.00,2.00,0.45,2.00,1.00,3.00,11.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.76,11.00
slackers,3.00,2.58,0.51,3.00,2.00,3.00,12.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.38,12.00
soulfully,3.00,2.83,0.39,3.00,2.00,3.00,12.00,2.70,0.00,,-0.30,0.30,0.77,0.30,0.00,3.00,0.59,12.00
spotlessness,3.00,2.90,0.32,3.00,2.00,3.00,10.00,2.87,0.17,,-0.13,0.13,0.89,0.13,0.00,3.00,0.17,10.00
spreader,2.00,2.00,0.50,2.00,1.00,3.00,9.00,2.07,-0.63,,0.07,0.07,0.93,0.00,0.07,2.00,0.82,9.00
strangeness,2.00,2.17,0.39,2.00,2.00,3.00,12.00,2.34,-0.37,,0.34,0.34,0.75,0.00,0.34,2.00,0.49,12.00
strengthen,2.00,2.18,0.40,2.00,2.00,3.00,11.00,2.20,-0.51,,0.20,0.20,0.84,0.00,0.20,2.00,0.67,11.00
sturdiest,2.00,2.27,0.47,2.00,2.00,3.00,11.00,2.34,-0.36,,0.34,0.34,0.74,0.00,0.34,2.00,0.44,11.00
submarine,2.00,2.22,0.44,2.00,2.00,3.00,9.00,2.12,-0.58,,0.12,0.12,0.89,0.00,0.12,2.00,0.81,9.00
subsidiary,2.00,2.91,0.70,3.00,2.00,4.00,11.00,2.82,0.11,,0.82,0.82,0.55,0.00,0.82,3.00,0.61,11.00
tactfully,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.75,0.05,,-0.25,0.25,0.80,0.25,0.00,3.00,0.65,10.00
temptress,2.00,2.09,0.30,2.00,2.00,3.00,11.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,0.67,11.00
terrorist,3.00,2.30,0.48,2.00,2.00,3.00,10.00,2.21,-0.49,,-0.79,0.79,0.56,0.79,0.00,2.00,0.88,10.00
terrors,3.00,2.08,0.51,2.00,1.00,3.00,12.00,2.12,-0.59,,-0.88,0.88,0.53,0.88,0.00,2.00,0.60,12.00
timelessness,3.00,3.00,0.00,3.00,3.00,3.00,12.00,3.01,0.30,,0.01,0.01,0.99,0.00,0.01,3.00,,12.00
transpose,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.16,-0.54,,0.16,0.16,0.86,0.00,0.16,2.00,0.63,10.00
triplet,3.00,2.11,0.33,2.00,2.00,3.00,9.00,2.07,-0.63,,-0.93,0.93,0.52,0.93,0.00,2.00,0.66,9.00
undergrad,2.00,2.36,0.50,2.00,2.00,3.00,11.00,2.31,-0.40,,0.31,0.31,0.76,0.00,0.31,2.00,0.45,11.00
underline,2.00,2.36,0.50,2.00,2.00,3.00,11.00,2.36,-0.34,,0.36,0.36,0.73,0.00,0.36,2.00,0.21,11.00
unfenced,3.00,2.85,0.38,3.00,2.00,3.00,13.00,2.73,0.03,,-0.27,0.27,0.79,0.27,0.00,3.00,0.25,13.00
waders,3.00,2.09,0.70,2.00,1.00,3.00,11.00,2.09,-0.61,,-0.91,0.91,0.52,0.91,0.00,2.00,0.41,11.00
wellbeing,3.00,2.64,0.67,3.00,1.00,3.00,11.00,2.52,-0.18,,-0.48,0.48,0.68,0.48,0.00,3.00,0.62,11.00
windiness,3.00,2.70,0.48,3.00,2.00,3.00,10.00,2.82,0.11,,-0.18,0.18,0.85,0.18,0.00,3.00,0.12,10.00
accountants,3.00,3.38,0.51,3.00,3.00,4.00,13.00,3.31,0.60,,0.31,0.31,0.76,0.00,0.31,3.00,0.57,13.00
alternates,3.00,3.33,0.65,3.00,2.00,4.00,12.00,3.09,0.38,,0.09,0.09,0.92,0.00,0.09,3.00,0.83,12.00
antimatter,2.00,2.82,0.75,3.00,2.00,4.00,11.00,2.64,-0.06,,0.64,0.64,0.61,0.00,0.64,3.00,0.84,11.00
astutely,2.00,2.25,0.75,2.00,1.00,4.00,12.00,2.26,-0.45,,0.26,0.26,0.79,0.00,0.26,2.00,0.93,12.00
botanists,3.00,2.80,0.92,3.00,1.00,4.00,10.00,2.84,0.13,,-0.16,0.16,0.86,0.16,0.00,3.00,0.82,10.00
calculable,2.00,2.55,0.69,2.00,2.00,4.00,11.00,2.59,-0.12,,0.59,0.59,0.63,0.00,0.59,3.00,0.70,11.00
cancellation,2.00,2.55,0.82,2.00,2.00,4.00,11.00,2.59,-0.12,,0.59,0.59,0.63,0.00,0.59,3.00,0.72,11.00
catastrophic,2.00,2.25,0.75,2.00,1.00,4.00,12.00,2.39,-0.32,,0.39,0.39,0.72,0.00,0.39,2.00,0.77,12.00
cleverly,2.00,2.20,0.79,2.00,1.00,4.00,10.00,2.22,-0.49,,0.22,0.22,0.82,0.00,0.22,2.00,0.93,10.00
communists,3.00,3.10,0.74,3.00,2.00,4.00,10.00,3.01,0.31,,0.01,0.01,0.99,0.00,0.01,3.00,0.62,10.00
consolation,2.00,3.00,0.77,3.00,2.00,4.00,11.00,2.82,0.12,,0.82,0.82,0.55,0.00,0.82,3.00,0.82,11.00
contractually,3.00,3.08,0.90,3.00,2.00,4.00,12.00,3.02,0.31,,0.02,0.02,0.98,0.00,0.02,3.00,0.76,12.00
contradicted,3.00,3.50,0.53,3.50,3.00,4.00,10.00,3.17,0.47,,0.17,0.17,0.85,0.00,0.17,3.00,0.53,10.00
corporates,3.00,2.80,0.79,3.00,2.00,4.00,10.00,2.75,0.05,,-0.25,0.25,0.80,0.25,0.00,3.00,0.78,10.00
cosponsored,3.00,3.45,0.52,3.00,3.00,4.00,11.00,3.23,0.53,,0.23,0.23,0.81,0.00,0.23,3.00,0.66,11.00
dimensionally,3.00,3.91,0.83,4.00,3.00,5.00,11.00,3.73,1.03,,0.73,0.73,0.58,0.00,0.73,4.00,0.58,11.00
directors,3.00,3.09,0.94,3.00,1.00,4.00,11.00,2.92,0.21,,-0.08,0.08,0.92,0.08,0.00,3.00,0.92,11.00
discontents,3.00,3.18,0.60,3.00,2.00,4.00,11.00,3.09,0.39,,0.09,0.09,0.91,0.00,0.09,3.00,0.89,11.00
disillusion,3.00,2.82,0.87,3.00,1.00,4.00,11.00,2.74,0.03,,-0.26,0.26,0.79,0.26,0.00,3.00,0.95,11.00
displeasure,3.00,3.00,0.67,3.00,2.00,4.00,10.00,2.82,0.12,,-0.18,0.18,0.85,0.18,0.00,3.00,0.34,10.00
distastefully,4.00,3.92,0.86,4.00,3.00,6.00,13.00,3.93,1.23,,-0.07,0.07,0.94,0.07,0.00,4.00,0.38,13.00
dominants,3.00,2.92,1.08,2.50,2.00,5.00,12.00,2.81,0.11,,-0.19,0.19,0.84,0.19,0.00,3.00,0.86,12.00
dominates,3.00,2.75,0.87,2.50,2.00,4.00,12.00,2.72,0.02,,-0.28,0.28,0.78,0.28,0.00,3.00,0.90,12.00
duplication,4.00,2.91,0.70,3.00,2.00,4.00,11.00,2.82,0.12,,-1.18,1.18,0.46,1.18,0.00,3.00,0.64,11.00
elegantly,3.00,2.67,0.89,2.00,2.00,4.00,12.00,2.67,-0.03,,-0.33,0.33,0.75,0.33,0.00,3.00,0.64,12.00
enchantments,3.00,3.73,0.47,4.00,3.00,4.00,11.00,3.51,0.80,,0.51,0.51,0.66,0.00,0.51,4.00,0.60,11.00
encountered,3.00,3.20,0.42,3.00,3.00,4.00,10.00,3.14,0.43,,0.14,0.14,0.88,0.00,0.14,3.00,0.38,10.00
engravings,4.00,3.09,0.83,3.00,2.00,4.00,11.00,3.01,0.30,,-0.99,0.99,0.50,0.99,0.00,3.00,0.68,11.00
exceptions,4.00,2.78,1.09,3.00,1.00,4.00,9.00,2.89,0.18,,-1.11,1.11,0.47,1.11,0.00,3.00,0.89,9.00
expendable,3.00,3.18,0.75,3.00,2.00,4.00,11.00,2.93,0.22,,-0.07,0.07,0.93,0.07,0.00,3.00,0.75,11.00
exporters,4.00,3.11,0.78,3.00,2.00,4.00,9.00,3.03,0.33,,-0.97,0.97,0.51,0.97,0.00,3.00,0.72,9.00
facilitation,3.00,3.29,0.99,3.00,2.00,5.00,14.00,3.14,0.44,,0.14,0.14,0.88,0.00,0.14,3.00,0.64,14.00
forelocks,3.00,3.00,0.47,3.00,2.00,4.00,10.00,2.90,0.19,,-0.10,0.10,0.91,0.10,0.00,3.00,0.75,10.00
illogically,4.00,3.58,0.51,4.00,3.00,4.00,12.00,3.43,0.72,,-0.57,0.57,0.64,0.57,0.00,3.00,0.09,12.00
immorally,3.00,3.00,0.58,3.00,2.00,4.00,13.00,2.84,0.13,,-0.16,0.16,0.86,0.16,0.00,3.00,0.69,13.00
indiscreetly,3.00,3.44,0.73,4.00,2.00,4.00,9.00,3.14,0.43,,0.14,0.14,0.88,0.00,0.14,3.00,0.81,9.00
inducements,4.00,3.50,1.00,4.00,1.00,4.00,12.00,3.29,0.58,,-0.71,0.71,0.58,0.71,0.00,3.00,0.82,12.00
